iter	Passed	Remaining
762	3621	1124
763	3626	1120
764	3630	1115
765	3635	1110
766	3639	1105
767	3644	1100
768	3649	1096
769	3653	1091
770	3658	1086
771	3663	1081
772	3667	1077
773	3672	1072
774	3677	1067
775	3681	1062
776	3686	1058
777	3692	1053
778	3697	1048
779	3701	1043
780	3706	1039
781	3711	1034
782	3715	1029
783	3719	1024
784	3724	1020
785	3728	1015
786	3733	1010
787	3737	1005
788	3742	1000
789	3747	996
790	3751	991
791	3756	986
792	3760	981
793	3765	976
794	3769	972
795	3773	967
796	3778	962
797	3783	957
798	3787	952
799	3793	948
800	3797	943
801	3801	938
802	3805	933
803	3810	928
804	3814	923
805	3818	919
806	3822	914
807	3827	909
808	3832	904
809	3836	899
810	3841	895
811	3845	890
812	3849	885
813	3854	880
814	3859	875
815	3863	871
816	3867	866
817	3872	861
818	3876	856
819	3880	851
820	3885	847
821	3889	842
822	3894	837
823	3898	832
824	3902	827
825	3906	822
826	3911	818
827	3915	813
828	3919	808
829	3924	803
830	3928	798
831	3932	794
832	3937	789
833	3942	784
834	3947	779
835	3952	775
836	3957	770
837	3961	765
838	3965	760
839	3969	756
840	3974	751
841	3978	746
842	3982	741
843	3988	737
844	3992	732
845	3996	727
846	4000	722
847	4005	717
848	4010	713
849	4014	708
850	4019	703
851	4024	699
852	4028	694
853	4033	689
854	4037	684
855	4042	680
856	4047	675
857	4052	670
858	4057	665
859	4061	661
860	4065	656
861	4070	651
862	4074	646
863	4079	642
864	4084	637
865	4089	632
866	4093	627
867	4097	623
868	4102	618
869	4107	613
870	4111	608
871	4115	604
872	4120	599
873	4124	594
874	4129	589
875	4133	585
876	4138	580
877	4141	575
878	4145	570
879	4150	565
880	4155	561
881	4159	556
882	4164	551
883	4169	547
884	4174	542
885	4179	537
886	4185	533
887	4189	528
888	4194	523
889	4198	518
890	4203	514
891	4208	509
892	4212	504
893	4217	500
894	4221	495
895	4225	490
896	4229	485
897	4234	480
898	4238	476
899	4243	471
900	4246	466
901	4251	461
902	4256	457
903	4260	452
904	4265	447
905	4269	442
906	4273	438
907	4278	433
908	4283	428
909	4287	423
910	4291	419
911	4295	414
912	4300	409
913	4305	405
914	4309	400
915	4314	395
916	4319	390
917	4323	386
918	4327	381
919	4332	376
920	4336	371
921	4341	367
922	4345	362
923	4350	357
924	4354	353
925	4358	348
926	4363	343
927	4367	338
928	4372	334
929	4377	329
930	4382	324
931	4387	320
932	4392	315
933	4397	310
934	4402	306
935	4407	301
936	4412	296
937	4416	291
938	4420	287
939	4425	282
940	4429	277
941	4434	273
942	4439	268
943	4443	263
944	4448	258
945	4453	254
946	4458	249
947	4464	244
948	4468	240
949	4473	235
950	4479	230
951	4485	226
952	4490	221
953	4498	216
954	4504	212
955	4511	207
956	4517	202
957	4523	198
958	4527	193
959	4531	188
960	4535	184
961	4539	179
962	4543	174
963	4547	169
964	4551	165
965	4555	160
966	4560	155
967	4564	150
968	4568	146
969	4572	141
970	4577	136
971	4582	131
972	4586	127
973	4590	122
974	4595	117
975	4600	113
976	4604	108
977	4608	103
978	4612	98
979	4617	94
980	4621	89
981	4626	84
982	4630	80
983	4635	75
984	4639	70
985	4644	65
986	4648	61
987	4653	56
988	4657	51
989	4662	47
990	4667	42
991	4671	37
992	4675	32
993	4679	28
994	4684	23
995	4688	18
996	4694	14
997	4698	9
998	4703	4
999	4708	0
